date,feature_index,CO
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,0.032078180462121964
2026-01-14T00:00:00.000Z,0,
2026-01-13T00:00:00.000Z,0,0.028438699431717396
2026-01-16T00:00:00.000Z,0,0.021770235151052475
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,0.026595037430524826
2026-06-06T00:00:00.000Z,0,0.027072740718722343
2026-06-11T00:00:00.000Z,0,0.03145212307572365
2026-06-05T00:00:00.000Z,0,0.027432585135102272
2026-06-07T00:00:00.000Z,0,0.035034822300076485
2026-06-10T00:00:00.000Z,0,0.033597104251384735
2026-06-09T00:00:00.000Z,0,0.026246759109199047
2026-06-08T00:00:00.000Z,0,0.03659229353070259
2026-06-04T00:00:00.000Z,0,0.03373308479785919
2025-10-18T00:00:00.000Z,0,
2025-10-19T00:00:00.000Z,0,0.03428654558956623
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,0.0459168404340744
2025-10-20T00:00:00.000Z,0,0.038427529856562614
2025-10-15T00:00:00.000Z,0,0.035160548985004425
2025-10-21T00:00:00.000Z,0,
2025-10-17T00:00:00.000Z,0,0.03607003390789032
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,0.03029964677989483
2025-11-15T00:00:00.000Z,0,
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,0.01937892474234104
2026-01-19T00:00:00.000Z,0,
2026-01-21T00:00:00.000Z,0,
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,
2026-01-20T00:00:00.000Z,0,
2026-01-24T00:00:00.000Z,0,
2026-04-16T00:00:00.000Z,0,0.030431224964559078
2026-04-13T00:00:00.000Z,0,0.02697901614010334
2026-04-15T00:00:00.000Z,0,0.029865230433642864
2026-04-12T00:00:00.000Z,0,
2026-04-10T00:00:00.000Z,0,0.03160422667860985
2026-04-11T00:00:00.000Z,0,
2026-04-09T00:00:00.000Z,0,0.02763273473829031
2026-04-14T00:00:00.000Z,0,0.026579142548143864
2026-05-02T00:00:00.000Z,0,0.030533647164702415
2026-04-26T00:00:00.000Z,0,0.02683830726891756
2026-04-25T00:00:00.000Z,0,0.03156778309494257
2026-05-01T00:00:00.000Z,0,0.022779745049774647
2026-04-27T00:00:00.000Z,0,
2026-04-29T00:00:00.000Z,0,0.02574159950017929
2026-04-30T00:00:00.000Z,0,
2026-04-28T00:00:00.000Z,0,
2026-07-09T00:00:00.000Z,0,0.03620041161775589
2026-07-10T00:00:00.000Z,0,0.0428888201713562
2026-07-07T00:00:00.000Z,0,0.029337078332901
2026-07-08T00:00:00.000Z,0,0.032346442341804504
2026-07-11T00:00:00.000Z,0,0.028986296616494656
2026-07-13T00:00:00.000Z,0,0.0356464646756649
2026-07-06T00:00:00.000Z,0,0.03338397853076458
2026-07-12T00:00:00.000Z,0,0.03710807301104069
2025-09-03T00:00:00.000Z,0,0.018689550459384918
2025-09-04T00:00:00.000Z,0,0.034301355481147766
2025-09-02T00:00:00.000Z,0,0.025089792907238007
2025-08-30T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,
2025-09-01T00:00:00.000Z,0,0.0260535990819335
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,0.03147498518228531
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,
2025-10-28T00:00:00.000Z,0,
2025-10-30T00:00:00.000Z,0,0.028508413583040237
2025-10-25T00:00:00.000Z,0,0.030077552422881126
2025-10-24T00:00:00.000Z,0,
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,
2025-11-23T00:00:00.000Z,0,0.033439990133047104
2025-11-18T00:00:00.000Z,0,
2025-11-21T00:00:00.000Z,0,0.03080696426331997
