date,O3,CO,NO2,SO2
2026-06-19,0.1174979731440544,0.033234978163683856,3.7302006164501455e-05,0.0005646908655762672
2026-06-18,0.117119649797678,0.034196872796331136,3.8698343720672456e-05,0.00015399265103042126
2026-06-14,0.1102348946034908,0.03162559654031481,3.95189443438807e-05,4.500483628362417e-05
2026-06-17,0.1161231602231661,0.0317037296295166,4.568673658037656e-05,0.00019564054071389395
2026-06-12,0.1116876545051733,--,--,--
2026-07-02,0.1167321041226387,0.03427724838256836,4.474789214630922e-05,-0.00013513769954442978
2026-07-04,0.117189739147822,0.028312496344248452,4.392362122113506e-05,0.0002668298470477263
2026-07-03,0.1166281335055828,0.03118950128555298,3.924715288338207e-05,0.00019557822573309144
2026-07-01,0.116603601972262,--,4.5010664810736976e-05,0.0004769633524119854
2026-06-29,0.1153019830584526,0.02957972708870383,4.475140655092124e-05,0.00027934573590755464
2026-06-30,0.1168125055730342,0.03183317184448242,4.212074369813005e-05,7.942399630943934e-05
2026-07-05,0.1161018140614032,0.03230089169961435,3.4711178159341216e-05,0.0002588165551424026
2026-06-28,0.1139719627797603,0.029949309497044004,3.3537690926875386e-05,0.0003904657888001409
2025-11-30,0.116136401395003,--,--,--
2025-11-26,0.1118831291794777,0.026451701627058143,2.3233122192323208e-05,-3.14718927256763e-05
2025-11-25,0.1134300589561462,0.02970347205797831,2.7460305401208725e-05,4.0380061942745336e-05
2025-11-28,0.113172743966182,0.03024018512052648,2.442196273477748e-05,0.000263969085234053
2025-11-29,0.1150723037620385,0.025050246715545656,--,0.0002730517686965565
2025-12-01,0.1156058919926484,0.027979640960693358,2.6428402634337544e-05,4.400705802254379e-05
2025-11-27,0.1144274016221364,0.027994606643915176,1.490105544993033e-05,5.096204242565566e-05
2025-11-24,0.116014760484298,--,--,-0.00014586405207713446
2025-12-04,0.1159134636322657,--,--,--
2025-12-05,0.1153658847014109,--,3.5285030025988815e-05,-0.0001481961558705994
2025-12-02,0.1143644238511721,0.027861991753944985,2.4708586611918042e-05,0.00039447690360248087
2025-12-06,0.1154806055128574,--,4.1767187212826684e-05,2.345714528928511e-05
2025-12-09,0.1157465604444344,--,--,--
2025-12-08,0.1154246280590693,--,--,--
2025-12-03,0.1156432392696539,0.02753949910402298,2.2935448214411736e-05,-5.159197219957908e-06
2025-12-07,0.1149385896821816,0.02971726655960083,2.221722825197503e-05,-1.2294055652871195e-07
2026-02-25,0.1127220620711644,--,--,--
2026-02-23,0.114221204072237,--,--,3.483446562313475e-05
2026-02-24,0.1135232205192248,--,--,--
2026-02-26,0.1130392658213774,--,1.6064837836893275e-05,1.782554733966078e-05
2026-02-22,0.1130807009836038,--,--,--
2026-02-21,0.1127237379550933,--,--,-3.3699201594572514e-05
2026-02-20,0.1112831043700377,0.027184164524078368,2.641824297218894e-05,0.00011017441749572754
2026-02-27,0.1130115854243437,0.024556687474250792,1.69800769072026e-05,-2.4261337239295243e-05
2025-12-15,0.1164001114666462,0.02539884266646012,--,5.438235166366212e-05
2025-12-10,0.1169019343952337,0.02843907806608412,--,0.0003348331665620208
2025-12-12,0.1138005035618941,0.03093903660774231,2.473428113652127e-05,-5.3998621836028714e-05
2025-12-13,0.1134690292179584,--,--,--
2025-12-11,0.1151590334872404,0.029023686051368715,--,--
2025-12-14,0.1161770097911358,--,--,--
2026-04-06,0.1175428020457426,0.02401173335534555,--,9.496476942379224e-05
2026-04-02,0.1187654979526996,--,--,--
